20140508_T47DH2B-DrugScreen_Helena9-DSAB05TS_TS_DR0001CH0001SP0001,,Sat 9 Aug 2014 21:38:02,,,,,,,,,,,,
,,,,,,,,,,,,,,
ObjectID,Label,Centroid,MeanIntensity,StandardDeviationIntensity,MaxIntensity,MinIntensity,TotalIntensity,Area,Count,EquivalentDiskRadius,Elongation,Eccentricity,Circularity,BoundingBox
30,30,{536.1111111111111. 323.70833333333337},0.014032578,0.000587693,0.015045396,0.012558175,1.010345617,73,72,4.787307365,0.146784227,0.521558094,1.026125347,{{531.. 319.}. {541.. 328.}}
31,31,{311.98387096774195. 319.0268817204301},0.016643901,0.001690535,0.019882506,0.013473716,6.191531243,375.25,372,10.88169461,0.17804914,0.569558411,0.966117506,{{301.. 308.}. {324.. 330.}}
32,32,{655.773137697517. 302.8702031602709},0.013565925,0.000660132,0.015014878,0.011917296,6.009704738,446,443,11.87481703,0.446479826,0.832835768,0.829561288,{{645.. 290.}. {669.. 320.}}
34,34,{69.88276181649675. 282.73354958294715},0.013005792,0.000575099,0.014724956,0.011306935,14.03324941,1084.375,1079,18.53257584,0.028382472,0.236557348,0.918244001,{{50.. 264.}. {89.. 302.}}
35,35,{164.3576923076923. 288.1096153846154},0.017374157,0.001128136,0.019928283,0.013992523,9.034561685,522.75,520,12.86550197,0.080255861,0.392518432,0.972611099,{{151.. 277.}. {177.. 301.}}
36,36,{558.1938405797101. 275.40579710144925},0.013579617,0.00069164,0.015548943,0.012069886,7.49594873,556,552,13.25545387,0.438358466,0.827380678,0.856373607,{{541.. 264.}. {574.. 290.}}
37,37,{374.2142857142857. 265.4769585253456},0.012643119,0.000423016,0.013748379,0.011337453,5.487113756,436.625,434,11.75357352,0.024872912,0.221646478,0.926615865,{{363.. 253.}. {387.. 277.}}
38,38,{227.44586894586894. 251.64814814814815},0.012435842,0.000660208,0.013962005,0.010879683,4.364980545,354.375,351,10.57008846,0.363479556,0.771259829,0.89526089,{{215.. 240.}. {238.. 264.}}
39,39,{303.46990291262136. 243.77475728155338},0.012736424,0.000541339,0.014724956,0.011337453,13.11851682,1035.125,1030,18.10688219,0.220983309,0.627003186,0.948210392,{{287.. 223.}. {320.. 264.}}
40,40,{419.70696324951643. 239.04932301740814},0.014672774,0.000853675,0.016327153,0.012207218,7.585824369,520.5,517,12.82833626,0.159584145,0.541942054,0.964171791,{{407.. 225.}. {431.. 253.}}
41,41,{534.3395833333333. 231.3625},0.014342781,0.00125779,0.017120623,0.011825742,6.884534981,483.5,480,12.36077446,0.313945956,0.727550582,0.929030064,{{524.. 216.}. {545.. 247.}}
42,42,{129.26556776556777. 232.07875457875457},0.014077985,0.000892025,0.015960937,0.011917296,3.843289845,276.5,273,9.3219418,0.552905735,0.894486846,0.795830102,{{119.. 219.}. {139.. 246.}}
43,43,{595.6059602649007. 216.00993377483445},0.012291319,0.000352544,0.013641566,0.011108568,7.423956664,607.625,604,13.86575534,0.207264393,0.60956563,0.936663325,{{582.. 201.}. {609.. 231.}}
44,44,{344.1896551724138. 211.75287356321837},0.012619001,0.000606673,0.014099336,0.01123064,5.489265278,438.375,435,11.76710672,0.570518339,0.90307558,0.80203831,{{327.. 203.}. {362.. 221.}}
46,46,{284.98473282442745. 188.},0.016684634,0.001254928,0.018982223,0.013351644,4.371374075,264.25,262,9.132206206,0.569582964,0.902630143,0.760436047,{{274.. 173.}. {292.. 200.}}
47,47,{480.348. 189.52742857142857},0.012525181,0.000423342,0.013702602,0.011215381,10.95953307,880,875,16.68895295,0.285772292,0.69991341,0.869710969,{{466.. 171.}. {497.. 210.}}
48,48,{182.0205298013245. 183.8245033112583},0.013305301,0.000475279,0.014831769,0.011978332,10.0455024,759.5,755,15.50238575,0.217821656,0.623054603,0.946484933,{{164.. 170.}. {200.. 198.}}
50,50,{223.33261802575106. 154.26108726752506},0.015453503,0.001071827,0.018158236,0.012863355,10.80199893,703.625,699,14.91638731,0.355641742,0.764723764,0.898361998,{{206.. 139.}. {242.. 168.}}
51,51,{405.5234260614934. 155.22181551976576},0.01325694,0.000625808,0.014938582,0.011215381,9.054489967,687.375,683,14.74468217,0.38659312,0.789767054,0.8951288,{{394.. 135.}. {419.. 174.}}
52,52,{132.13467492260062. 152.16873065015477},0.013080619,0.000813339,0.014770733,0.01123064,4.225040055,327.75,323,10.13972846,0.693701244,0.951935435,0.638757963,{{115.. 137.}. {153.. 162.}}
53,53,{612.5248175182481. 145.3934306569343},0.015502988,0.000889358,0.017517357,0.013092241,10.61954681,688.5,685,14.7662545,0.131306754,0.495350427,0.950625347,{{597.. 131.}. {628.. 159.}}
54,54,{487.8560732113145. 120.52828618968385},0.013431976,0.000563832,0.015121691,0.012024109,8.072617685,605.5,601,13.83127766,0.229697722,0.637678917,0.915635178,{{470.. 107.}. {502.. 135.}}
55,55,{432.74186704384726. 100.52970297029702},0.013296997,0.000343806,0.014404517,0.012298772,9.400976577,711,707,15.00150291,0.23484729,0.643848842,0.949648686,{{419.. 84.}. {447.. 117.}}
56,56,{17.812775330396477. 92.64537444933922},0.013432208,0.000505331,0.01451133,0.011886778,6.098222324,457.375,454,12.02134303,0.089926161,0.414446147,0.966087074,{{6.. 80.}. {30.. 105.}}
57,57,{320.625. 83.95913461538464},0.013684958,0.000545369,0.015197986,0.012130922,5.692942702,419.625,416,11.50725478,0.290742464,0.704949465,0.938841125,{{308.. 71.}. {331.. 97.}}
58,58,{262.2097902097902. 79.28205128205127},0.014789816,0.000848376,0.017349508,0.012573434,12.68966201,865,858,16.5260365,0.456755311,0.839574421,0.871138167,{{240.. 62.}. {283.. 97.}}
59,59,{540.9107142857143. 81.02380952380952},0.012698837,0.000465072,0.014099336,0.01155108,6.400213626,507.375,504,12.66602474,0.075163746,0.380365486,0.99250739,{{529.. 68.}. {553.. 94.}}
60,60,{68.77067669172932. 72.85338345864659},0.012665677,0.000569229,0.014160372,0.011108568,8.422674907,669,665,14.54909187,0.258728998,0.671205857,0.902817541,{{52.. 60.}. {86.. 87.}}
61,61,{131.25937904269082. 71.43272962483832},0.014208025,0.000771005,0.016449226,0.01170367,10.98280308,777.5,773,15.68609391,0.243655827,0.654173901,0.957701078,{{115.. 56.}. {148.. 87.}}
62,62,{383.0037037037037. 61.023456790123475},0.014976146,0.00064809,0.016357671,0.013244831,6.065339132,408.25,405,11.35409635,0.199673558,0.599564498,0.980353579,{{372.. 49.}. {394.. 73.}}
63,63,{206.94444444444446. 57.427849927849934},0.011912232,0.000410484,0.012893874,0.010742351,8.255176623,696.75,693,14.85223051,0.125841912,0.48564147,0.830048021,{{191.. 43.}. {222.. 75.}}
64,64,{587.6505524861878. 49.280386740331494},0.013011604,0.000385737,0.014419776,0.011841001,9.420401312,728.625,724,15.1807891,0.164747132,0.549866026,0.950738636,{{571.. 34.}. {604.. 64.}}
65,65,{660.8967611336033. 36.60526315789474},0.014023257,0.00098166,0.016983291,0.012207218,6.927489128,498.25,494,12.53974018,0.459715312,0.841482297,0.837444518,{{645.. 24.}. {679.. 47.}}
66,66,{448.05263157894734. 27.127192982456165},0.012965082,0.000493758,0.01419089,0.011566339,5.912077516,459.5,456,12.04779267,0.237631036,0.647142614,0.951010492,{{437.. 13.}. {459.. 41.}}
67,67,{304.6867881548975. 22.910022779043288},0.01311181,0.000510711,0.014526589,0.011718929,5.756084535,442.375,439,11.82108455,0.175431634,0.565762326,0.974932962,{{294.. 9.}. {316.. 35.}}
68,68,{257.79778672032194. 17.8420523138833},0.013608868,0.000952809,0.015259022,0.011261158,6.763607233,500.625,497,12.57775868,0.336682029,0.748337671,0.929612394,{{246.. 3.}. {270.. 32.}}
