,0,1,2,3,4,5
10,1,500,11,"[9.575766843539162, 15.784823230609035, 19.756872931888427]",15,"[(9.061151242176114, 15.676050917144124, 17.7053043593536), (9.1315125432201, 18.793196935432874, 21.318651833845408), (10.610911995356071, 11.733354896087828, 19.159996695582972), (8.240796420579889, 12.255230399181567, 19.350217251147896), (5.735461166693739, 14.113604245798333, 20.459524937935218), (11.664636255482074, 14.571332671888454, 22.40713317914827), (7.08670854552688, 18.49710998427134, 19.968585460918337), (8.352338621033514, 15.96378833467648, 21.757612163618802), (8.26367937094508, 11.631060350973707, 22.134828167563114), (11.862559022118992, 17.90144389039035, 21.341864330509942), (12.01589327511738, 16.59916385651393, 18.235440124626013), (9.648967151463168, 13.476617871208054, 17.46548122982641), (11.686917090031832, 13.709810377351378, 18.85175721539792), (9.662741900630179, 17.835640253435336, 18.36372429804632), (7.0567807322636975, 15.01464798297695, 17.755135388601524)]"
11,1,500,12,"[22.95011860473473, 10.95374879917795, 9.571746923305156]",12,"[(25.26139280518348, 11.301715776596607, 11.12919631474238), (22.35875713708044, 7.409329389102004, 10.029259193274202), (23.934232375604665, 9.131800691930458, 11.13534111407765), (21.970432424972426, 14.538581014507429, 8.657534084412575), (20.440245535274812, 11.036472663246151, 9.776290277461868), (20.64644492491547, 8.565224083023432, 7.843881860657249), (23.179942974268194, 11.90388771815372, 7.5864919871802945), (24.702074740593346, 14.406389826217955, 9.814259457791225), (21.891222274921837, 10.48026257603084, 12.232138753045675), (22.648641933953495, 9.946278229712341, 6.965947140915549), (23.4112871843336, 12.48943725427078, 11.013538186671981), (21.141620691999716, 12.35189769392311, 7.199218312220659)]"
12,1,500,13,"[19.14708677182407, 10.891754759934841, 1.7481705568364128]",14,"[(18.152739622301613, 12.524423223506952, 6.550989007475558), (13.747002155268284, 10.01280601202041, 0.9910048063323277), (16.43352382225934, 12.468025018324308, 4.196829173181542), (16.712563332026047, 9.682526751788824, 4.921354864815775), (16.721444417675745, 8.445805261308411, 2.3370209292715995), (20.702699727358674, 8.806452952984651, 3.6310408502131026), (21.546305132509193, 15.267707636196665, 3.190039200315754), (17.81922424595975, 18.252136011086225, 2.2541086676101467), (21.610289813170862, 12.334799646127118, 3.554839660175743), (14.926963663593513, 12.179967358471574, 0.27963035188523294), (16.753370590984858, 11.836025433626013, 1.2808097052532834), (22.39454905600269, 8.904435827356352, 4.8006633767723335), (17.880539308568558, 13.31550899903898, 2.432321764584372), (23.13125606608004, 10.899745831404982, 4.91529656762506)]"
13,1,500,14,"[1.2417589027430247, 13.71987848395289, 10.65695164108774]",11,"[(1.8956816602192348, 13.384507290061181, 6.956364774970905), (0.9271126768237665, 15.727809533786031, 9.881788008980312), (1.9911999167052312, 12.412597037180841, 11.99622717507754), (0.3097615712303803, 11.069346045863652, 13.490750267053237), (1.94380688928175, 12.050696752394389, 8.757051827426588), (1.1121624399874739, 9.931524163978027, 11.965316219505851), (2.5405445524075545, 14.402036786728786, 8.573668401840248), (3.375434005298375, 16.402598535674546, 12.896929356051173), (1.0216367172286567, 15.276961651057729, 14.845826954604247), (2.903621321235459, 13.769915528528928, 13.890841641925055), (3.856680560294712, 14.575990646960657, 10.213226248506961)]"
14,1,500,15,"[11.392154917414889, 21.224216220536146, 12.833218874217026]",14,"[(13.876966051777488, 22.384549761644685, 15.335498970913003), (12.287267335299743, 23.605974987082295, 10.050292742425212), (8.535661530733021, 19.495343585034735, 10.446394776243082), (9.725728683260906, 23.04194324042554, 13.419504600775888), (11.7315485986701, 20.459167915433543, 10.537287241231835), (11.936591529791816, 18.81306350412072, 12.0852398850889), (11.92092603181465, 23.497643872190125, 13.424265823445541), (11.761848932596454, 19.269885121159607, 15.411790249012014), (14.300395204202719, 22.924282314512926, 13.164848268351227), (13.62018336646974, 20.613313957996596, 12.442379623519294), (9.621764966546978, 24.208283389486144, 9.779860976814474), (8.297038231406818, 21.231293438740426, 9.126172595857074), (8.71514060058387, 19.70845044698494, 12.844629236944083), (10.75448195354345, 21.720073018734457, 14.954605402288403)]"
15,1,500,16,"[12.203558158947867, 14.429802143055515, 25.692958970533287]",11,"[(17.24429284898489, 12.680162377867315, 25.878565927128086), (11.842200971190751, 10.401468439916158, 25.140237710123877), (10.058789911319117, 11.60620031788537, 24.027519298101446), (11.971006532380565, 17.587363989159336, 23.971270112779575), (11.664636255482074, 14.571332671888454, 22.40713317914827), (9.445262739552716, 15.399829390212881, 25.207813750847983), (14.33153608431306, 11.115930230930207, 25.5886594252845), (14.39949610947145, 14.635016852688219, 23.755972296585444), (8.585700140148722, 13.358041677833773, 24.014856909792194), (7.6161858270631155, 10.529333915700798, 24.88227280703544), (14.47277124936804, 15.494940999123724, 25.569953107222325)]"
16,1,500,17,"[19.84571316353608, 14.757186724718645, 6.212299070134025]",16,"[(18.152739622301613, 12.524423223506952, 6.550989007475558), (21.970432424972426, 14.538581014507429, 8.657534084412575), (22.18626117800325, 18.6470757877391, 6.340992920869367), (21.225373174193475, 17.10771428259479, 9.468255974942164), (20.332358292577123, 16.56880334848897, 4.232236189246683), (21.546305132509193, 15.267707636196665, 3.190039200315754), (16.2753612341227, 17.73192730360936, 7.707140757849384), (24.038751023947533, 14.877943494257957, 7.614600891321554), (18.36147867009802, 13.46595673647391, 8.40211455523821), (18.27417614226025, 17.612869785624277, 5.661994552626001), (21.610289813170862, 12.334799646127118, 3.554839660175743), (21.141620691999716, 12.35189769392311, 7.199218312220659), (23.455086049071415, 16.810572356414973, 7.50811547347036), (17.880539308568558, 13.31550899903898, 2.432321764584372), (20.085619067764537, 18.08132716597848, 7.271390375621), (17.771006361429674, 15.368756815060653, 5.349275189039759)]"
17,1,500,18,"[16.94741708984721, 9.07270260589555, 22.253649599993665]",11,"[(14.650817381814633, 9.834485805693328, 18.767207328199458), (18.853902345150395, 10.424400252435833, 20.161386581364617), (16.228634910222723, 10.837765897198688, 20.526184315286066), (18.39723583666323, 7.636009122840761, 21.99235294125978), (19.169347934282168, 9.487450112124984, 23.345588225090786), (18.499308984301873, 11.46544570770337, 22.05569799243133), (15.920462006287599, 10.132914417217844, 23.708964929820016), (16.432070741067204, 7.454024878204126, 24.461289372423227), (14.752745336606898, 9.706572742718624, 22.06830238846661), (17.376093892204988, 7.044922406947557, 18.824633541410186), (15.946628917574778, 6.829661514073394, 21.940992323691344)]"
18,1,500,19,"[2.829087765230736, 14.125548998573974, 17.486075937919335]",12,"[(6.186881162546861, 10.676319262173244, 15.372444664104366), (2.526506487135003, 13.989314308925877, 19.544502318425806), (7.337626832827738, 13.180951746909725, 16.50317245086766), (4.716754801705109, 14.88699722088076, 13.300189412697604), (3.393056619656837, 15.919595696111996, 19.597451259642995), (5.735461166693739, 14.113604245798333, 20.459524937935218), (2.1613351273846013, 11.969571531273747, 17.279285904264327), (1.9410299822562498, 17.348924761605435, 15.326461583375602), (4.680005200700606, 15.886420158252724, 17.503942514406333), (4.4384666155083226, 11.763052471580986, 18.5663871761907), (1.0216367172286567, 15.276961651057729, 14.845826954604247), (2.903621321235459, 13.769915528528928, 13.890841641925055)]"
19,1,500,20,"[15.249718835119424, 19.891448799859614, 6.908360793407607]",17,"[(15.954748213931442, 21.652957191979493, 5.686701547736259), (13.451284586653518, 19.28489500808724, 10.292618131735928), (17.824286183314427, 20.263867851125152, 9.778457454229168), (15.085812440093855, 18.329620708674693, 4.737974047796895), (13.700082864095888, 21.552383775962966, 5.797128027690622), (17.499760047156503, 20.174528215450582, 4.051708975414474), (16.206623935840966, 22.247507600460533, 10.584757929035629), (14.10251371222499, 18.259998639420164, 7.955970167133464), (16.2753612341227, 17.73192730360936, 7.707140757849384), (14.177467033540442, 22.556969029590192, 10.107569649274197), (13.243355849657839, 18.419192893047022, 5.546871580337165), (16.125991094426148, 18.810519187938734, 9.521118298932219), (18.27417614226025, 17.612869785624277, 5.661994552626001), (11.997084123272987, 20.47423346247001, 7.61563017188599), (15.0865560046486, 23.576960972649996, 7.488215372350175), (17.55611004262072, 21.427680108771035, 7.091130848274567), (18.387447265886387, 19.198315174472988, 7.148808298828085)]"
20,1,500,21,"[7.199180776202523, 11.816459480116201, 2.09039930986656]",12,"[(13.747002155268284, 10.01280601202041, 0.9910048063323277), (11.921082672146346, 14.537493976776346, 0.35245583809883235), (9.45465988517179, 6.146984703590558, 2.75099327439276), (5.8301450859221235, 8.812538459972513, 3.785618676500642), (9.753987356189082, 8.608595181906187, 3.2218255971894654), (6.78812322161519, 13.802189184873868, 4.75014236775703), (7.861686554498121, 10.748112698496483, 4.716762233354085), (8.713239547981063, 13.145296540167173, 2.3192875095827596), (5.4562602717923285, 14.434540896740323, 3.364880982617621), (6.878282644017813, 16.856235504017068, 2.8097917739156792), (8.638161639780105, 17.862305454733868, 1.9183748921948005), (5.292581811097379, 11.966918016515347, 2.951012373992139)]"
21,1,500,22,"[15.758976387151185, 17.068638277046205, 25.04674616522074]",13,"[(15.79568495918252, 20.199451268447753, 23.1861285980426), (16.583289074396074, 17.60213683365666, 21.63715394474125), (17.24429284898489, 12.680162377867315, 25.878565927128086), (19.217724922184924, 14.346517779062756, 22.72844467533031), (14.390994646078674, 17.539553086929153, 22.58850112115376), (11.971006532380565, 17.587363989159336, 23.971270112779575), (10.446040166250453, 20.70021921614191, 23.150856086116548), (18.53482764003178, 16.419762347347405, 21.96642639746772), (17.90437364533444, 18.135389100037603, 24.686683010042877), (9.445262739552716, 15.399829390212881, 25.207813750847983), (14.39949610947145, 14.635016852688219, 23.755972296585444), (16.077940287776524, 12.419457693779362, 23.92563659110006), (14.47277124936804, 15.494940999123724, 25.569953107222325)]"
22,1,500,23,"[13.62018336646974, 20.613313957996596, 12.442379623519294]",14,"[(13.451284586653518, 19.28489500808724, 10.292618131735928), (13.876966051777488, 22.384549761644685, 15.335498970913003), (12.287267335299743, 23.605974987082295, 10.050292742425212), (16.206623935840966, 22.247507600460533, 10.584757929035629), (11.7315485986701, 20.459167915433543, 10.537287241231835), (14.066618629777066, 18.68696802573009, 14.055608461948559), (11.936591529791816, 18.81306350412072, 12.0852398850889), (11.392154917414889, 21.224216220536146, 12.833218874217026), (14.177467033540442, 22.556969029590192, 10.107569649274197), (11.761848932596454, 19.269885121159607, 15.411790249012014), (14.300395204202719, 22.924282314512926, 13.164848268351227), (16.926047771248115, 23.028151381781267, 13.6359700527435), (15.20885433614718, 19.410682347469873, 11.343217324835882), (17.498454654610498, 21.070590734674195, 12.341620201265254)]"
23,1,500,24,"[18.53482764003178, 16.419762347347405, 21.96642639746772]",16,"[(18.228716030501502, 15.1565757481695, 18.03807062065711), (19.674463038656306, 14.624932989046739, 20.314297208366007), (22.57377742260034, 17.835400945682462, 21.421319414114322), (16.583289074396074, 17.60213683365666, 21.63715394474125), (19.217724922184924, 14.346517779062756, 22.72844467533031), (20.54260390844319, 16.491207024011118, 23.67908516683039), (16.72019003363393, 18.706818653497844, 19.796951073618033), (14.495297706001251, 14.54623363587662, 20.1646867571205), (19.470807480724805, 17.356317408390417, 18.424568959532394), (17.89879006822493, 19.22435455138124, 21.433300019556466), (17.90437364533444, 18.135389100037603, 24.686683010042877), (19.391484601369754, 19.04059895370154, 19.553993707486008), (16.372463132026613, 15.722491579103847, 18.904446777175664), (15.758976387151185, 17.068638277046205, 25.04674616522074), (21.961021711660234, 15.874250410738714, 20.815077703605255), (14.39949610947145, 14.635016852688219, 23.755972296585444)]"
24,1,500,25,"[17.376093892204988, 7.044922406947557, 18.824633541410186]",19,"[(17.044866049414466, 9.972893608704279, 17.973472914135506), (14.650817381814633, 9.834485805693328, 18.767207328199458), (18.853902345150395, 10.424400252435833, 20.161386581364617), (18.39723583666323, 7.636009122840761, 21.99235294125978), (18.528430486395816, 4.595293275910158, 18.773092196829502), (16.94741708984721, 9.07270260589555, 22.253649599993665), (15.946628917574778, 6.829661514073394, 21.940992323691344), (16.155633795711815, 7.354680693645371, 15.561578281128819), (18.73310787507179, 6.322104849051874, 15.90991127410387), (20.180021162473977, 9.433677420666191, 19.011082933107428), (17.054005484693658, 4.9647877301864645, 20.114789327164274), (13.495942658776848, 8.434574945985837, 17.908653453636873), (16.549169029206347, 5.318686434456508, 16.700722443291493), (20.13488785288593, 6.914912897627089, 17.609364259464694), (16.228634910222723, 10.837765897198688, 20.526184315286066), (14.770273127305561, 5.3926935947642605, 21.156402536396513), (18.22955797423778, 8.771696647158477, 15.931751048984056), (13.404831314348229, 6.995561126926332, 19.94621769365148), (19.73983495423075, 6.409945603762091, 20.234440905321883)]"
25,1,500,26,"[13.778062142077959, 17.474243640357205, 20.12514603673999]",15,"[(12.73008740096028, 20.697138601043836, 22.379796326943115), (13.622436222835281, 20.294624927717116, 17.90836303179782), (16.583289074396074, 17.60213683365666, 21.63715394474125), (14.444787060160342, 21.095176698836433, 19.81432261095677), (14.495297706001251, 14.54623363587662, 20.1646867571205), (14.390994646078674, 17.539553086929153, 22.58850112115376), (16.72019003363393, 18.706818653497844, 19.796951073618033), (11.664636255482074, 14.571332671888454, 22.40713317914827), (15.505736796559527, 16.65518794097791, 17.273091839221767), (12.642510962317829, 17.338585487260808, 16.40406770427065), (11.862559022118992, 17.90144389039035, 21.341864330509942), (16.372463132026613, 15.722491579103847, 18.904446777175664), (12.01589327511738, 16.59916385651393, 18.235440124626013), (11.361442502716406, 20.18766617093145, 18.01930922485282), (13.433815271987678, 14.79765729288124, 18.43128680395023)]"
26,1,500,27,"[5.6219223935647, 19.086943759427985, 9.881547863609741]",12,"[(6.941439520993351, 20.02045329026919, 6.530043006871796), (8.535661530733021, 19.495343585034735, 10.446394776243082), (3.959099653364423, 17.763028446561133, 8.895232059957715), (5.199749370844069, 20.288196240485618, 12.038865157022586), (7.865572524670267, 23.31779260913582, 9.384228005415608), (4.91586433518716, 15.948244837578642, 9.086711478487123), (5.930502777688676, 17.66650366184715, 11.276957147254722), (8.767516114924883, 16.64324160024451, 10.629739549702153), (7.054589649540936, 17.319158069216765, 7.6134052151051455), (8.297038231406818, 21.231293438740426, 9.126172595857074), (4.988105802233724, 19.783588900165295, 7.94851490064831), (2.266945139123361, 18.84326138752248, 10.860204174789923)]"
27,1,500,28,"[6.878282644017813, 16.856235504017068, 2.8097917739156792]",12,"[(8.231792462316925, 16.108573645371063, 4.513164939778696), (3.9353704411448156, 18.46626803008536, 6.852564059789246), (6.941439520993351, 20.02045329026919, 6.530043006871796), (8.713239547981063, 13.145296540167173, 2.3192875095827596), (8.824788818401045, 21.919593016473957, 5.398568067183219), (7.199180776202523, 11.816459480116201, 2.09039930986656), (9.342981907423505, 15.090593501046921, 2.7043708555513586), (7.054589649540936, 17.319158069216765, 7.6134052151051455), (5.2186913886371595, 14.755267434107102, 7.258547999970013), (5.4562602717923285, 14.434540896740323, 3.364880982617621), (8.638161639780105, 17.862305454733868, 1.9183748921948005), (5.292581811097379, 11.966918016515347, 2.951012373992139)]"
28,1,500,29,"[21.961021711660234, 15.874250410738714, 20.815077703605255]",13,"[(25.109942873544544, 15.24392939877717, 18.247294177254865), (21.049338249457442, 15.488060288867734, 17.577344867351467), (21.722487828597757, 12.895952891202903, 21.192447520391667), (19.674463038656306, 14.624932989046739, 20.314297208366007), (22.57377742260034, 17.835400945682462, 21.421319414114322), (19.217724922184924, 14.346517779062756, 22.72844467533031), (20.54260390844319, 16.491207024011118, 23.67908516683039), (23.05782913242976, 15.825182429114351, 17.941162655944975), (19.470807480724805, 17.356317408390417, 18.424568959532394), (19.391484601369754, 19.04059895370154, 19.553993707486008), (18.53482764003178, 16.419762347347405, 21.96642639746772), (22.030304069287418, 17.61073580947065, 19.0455294203905), (23.960404189730042, 13.782835587191864, 19.161723794945182)]"
29,1,500,30,"[20.085619067764537, 18.08132716597848, 7.271390375621]",16,"[(17.824286183314427, 20.263867851125152, 9.778457454229168), (21.657327096610953, 20.746671774385128, 6.667744538962008), (22.18626117800325, 18.6470757877391, 6.340992920869367), (21.970432424972426, 14.538581014507429, 8.657534084412575), (21.225373174193475, 17.10771428259479, 9.468255974942164), (20.332358292577123, 16.56880334848897, 4.232236189246683), (16.2753612341227, 17.73192730360936, 7.707140757849384), (16.37178308725666, 16.762910942690212, 9.684552370298555), (18.36147867009802, 13.46595673647391, 8.40211455523821), (20.239995615841444, 21.23206054259192, 5.310406006107109), (19.84571316353608, 14.757186724718645, 6.212299070134025), (18.27417614226025, 17.612869785624277, 5.661994552626001), (20.12204229592246, 22.240528731683472, 8.876213978714226), (23.455086049071415, 16.810572356414973, 7.50811547347036), (22.6349085934094, 19.721330083619048, 8.8049203498855), (18.387447265886387, 19.198315174472988, 7.148808298828085)]"
30,1,500,31,"[17.498454654610498, 21.070590734674195, 12.341620201265254]",16,"[(17.824286183314427, 20.263867851125152, 9.778457454229168), (17.241894987383603, 17.450619454634563, 11.982336240311415), (18.72756046866427, 18.754550169380447, 12.910519566467242), (18.36989712054624, 18.889333720412733, 15.309834733462614), (13.876966051777488, 22.384549761644685, 15.335498970913003), (16.463870235230345, 24.125620989555124, 11.881954163983686), (16.206623935840966, 22.247507600460533, 10.584757929035629), (14.066618629777066, 18.68696802573009, 14.055608461948559), (20.230744779632627, 21.530016269824877, 14.578705801691592), (14.300395204202719, 22.924282314512926, 13.164848268351227), (20.12204229592246, 22.240528731683472, 8.876213978714226), (13.62018336646974, 20.613313957996596, 12.442379623519294), (16.926047771248115, 23.028151381781267, 13.6359700527435), (20.127575736594242, 22.345328465274207, 12.6143552712428), (15.20885433614718, 19.410682347469873, 11.343217324835882), (18.501305130437007, 22.198583449497946, 16.557272362373308)]"
31,1,500,32,"[16.782930868286044, 21.64839046273299, 19.50913703647477]",11,"[(17.683046437002478, 18.328237086650674, 17.45474492037763), (13.713491214421026, 22.8435121992718, 20.493674459163323), (16.270871063018685, 21.897473150072827, 17.455756914287083), (15.79568495918252, 20.199451268447753, 23.1861285980426), (14.444787060160342, 21.095176698836433, 19.81432261095677), (16.72019003363393, 18.706818653497844, 19.796951073618033), (17.43855592753441, 24.031369164508007, 18.204984594451428), (17.89879006822493, 19.22435455138124, 21.433300019556466), (19.391484601369754, 19.04059895370154, 19.553993707486008), (18.853994614366528, 22.12988231908177, 20.57951061146417), (18.501305130437007, 22.198583449497946, 16.557272362373308)]"
32,1,500,33,"[25.387105626445084, 13.435380247772532, 12.203603355038457]",10,"[(25.26139280518348, 11.301715776596607, 11.12919631474238), (21.65838448308007, 14.974398285525904, 11.372758731226678), (23.595565523115617, 11.42708396242407, 12.886852860413846), (25.314661409199456, 15.331473642420109, 15.191228458909908), (25.56558033128585, 10.675555984505136, 17.225757884785278), (24.702074740593346, 14.406389826217955, 9.814259457791225), (21.274378670302852, 13.441196346563594, 15.799112246399003), (23.4112871843336, 12.48943725427078, 11.013538186671981), (20.65830972402022, 13.075508458916199, 13.16134618796188), (25.60194494600361, 16.96079876046841, 12.143419143073102)]"
